Row3,Cost1,Cost2,Id
E11,3000,113508,1
F11,3000,254548,2
F11,3000,72730,3
D11,3000,259608,4
C11,3000,232249,5
C11,3000,61540,6
B11,40000,240233,7
A11,3000,268585,8
E11,3000,144298,9
A11,3000,40696,10
F11,3000,170069,11
C11,3000,222044,12
D11,40000,273382,13
F11,3000,59436,14
A11,40000,150717,15
F11,40000,49939,16
B11,40000,52821,17
D11,40000,252082,18
D11,40000,54113,19
B11,40000,34305,20
F11,40000,37623,21
F11,3000,81103,22
B11,3000,80405,23
C11,40000,154751,24
D11,3000,157910,25
E11,3000,242513,26
C11,40000,3220,27
F11,3000,57715,28
F11,3000,205248,29
B11,3000,32337,30
C11,40000,33419,31
B11,40000,114448,32
F11,3000,241159,33
E11,40000,69779,34
C11,40000,47383,35
F11,40000,255932,36
A11,3000,105525,37
B11,3000,262261,38
D11,3000,219213,39
B11,40000,122412,40
D11,40000,28043,41
F11,3000,148218,42
F11,40000,184409,43
F11,3000,43354,44
B11,40000,180067,45
C11,3000,245558,46
B11,3000,13051,47
D11,3000,254200,48
B11,40000,150394,49
E11,40000,103857,50
A11,40000,67426,51
B11,3000,108810,52
B11,40000,80176,53
B11,40000,209331,54
B11,40000,29009,55
E11,40000,91557,56
B11,40000,191738,57
A11,3000,131760,58
E11,40000,80401,59
A11,3000,46384,60
B11,3000,166854,61
D11,40000,187429,62
F11,3000,210092,63
E11,3000,98861,64
D11,3000,252773,65
B11,40000,91292,66
E11,3000,48992,67
B11,3000,194420,68
A11,3000,84183,69
B11,3000,101136,70
A11,3000,196541,71
A11,3000,58277,72
F11,3000,187974,73
B11,40000,195985,74
F11,40000,138342,75
F11,3000,271974,76
F11,40000,146346,77
D11,3000,169129,78
A11,40000,146865,79
E11,3000,116302,80
E11,3000,224008,81
C11,40000,97972,82
A11,40000,20021,83
A11,3000,14259,84
D11,3000,289637,85
D11,40000,226325,86
B11,3000,270779,87
A11,3000,154802,88
D11,3000,277440,89
E11,3000,55317,90
A11,40000,66903,91
B11,40000,1399,92
F11,40000,238975,93
F11,40000,150766,94
F11,3000,254041,95
E11,3000,186495,96
A11,3000,182657,97
D11,3000,215983,98
C11,40000,283529,99
E11,3000,276410,100
A11,3000,8291,101
E11,3000,62018,102
C11,40000,185727,103
A11,3000,23984,104
F11,3000,239557,105
D11,40000,255001,106
B11,40000,110678,107
E11,40000,213087,108
D11,40000,177473,109
B11,3000,40975,110
E11,3000,199195,111
C11,3000,285838,112
E11,40000,11210,113
C11,3000,266383,114
B11,3000,220830,115
F11,3000,257049,116
C11,3000,182555,117
D11,40000,82946,118
D11,40000,108007,119
D11,3000,200479,120
D11,40000,76879,121
E11,3000,188507,122
C11,40000,236501,123
B11,40000,99878,124
B11,40000,70317,125
A11,3000,216760,126
B11,3000,37155,127
B11,40000,119118,128
E11,40000,264797,129
A11,3000,121169,130
E11,40000,73874,131
C11,40000,109736,132
E11,3000,86104,133
F11,40000,252018,134
F11,40000,135117,135
F11,40000,257587,136
F11,40000,175211,137
A11,40000,83515,138
B11,40000,11741,139
E11,3000,136229,140
C11,3000,168352,141
D11,40000,167146,142
D11,40000,102418,143
F11,3000,131252,144
D11,3000,3152,145
B11,40000,279970,146
C11,3000,116701,147
B11,40000,5576,148
B11,40000,84796,149
D11,40000,259178,150
E11,40000,47564,151
F11,3000,168565,152
D11,40000,177718,153
A11,3000,188731,154
A11,3000,165811,155
F11,3000,281334,156
C11,40000,282289,157
C11,3000,186872,158
A11,3000,104379,159
