Row1,Cost1,Cost2,Id
A,3000,113508,1
E,3000,254548,2
D,3000,72730,3
E,3000,259608,4
A,3000,232249,5
C,3000,61540,6
A,40000,240233,7
E,3000,268585,8
A,3000,144298,9
D,3000,40696,10
A,3000,170069,11
D,3000,222044,12
E,40000,273382,13
A,3000,59436,14
E,40000,150717,15
E,40000,49939,16
C,40000,52821,17
C,40000,252082,18
F,40000,54113,19
D,40000,34305,20
F,40000,37623,21
B,3000,81103,22
A,3000,80405,23
F,40000,154751,24
C,3000,157910,25
F,3000,242513,26
B,40000,3220,27
E,3000,57715,28
C,3000,205248,29
C,3000,32337,30
A,40000,33419,31
C,40000,114448,32
D,3000,241159,33
D,40000,69779,34
F,40000,47383,35
E,40000,255932,36
A,3000,105525,37
C,3000,262261,38
B,3000,219213,39
A,40000,122412,40
B,40000,28043,41
B,3000,148218,42
D,40000,184409,43
C,3000,43354,44
C,40000,180067,45
F,3000,245558,46
F,3000,13051,47
C,3000,254200,48
B,40000,150394,49
D,40000,103857,50
D,40000,67426,51
E,3000,108810,52
E,40000,80176,53
D,40000,209331,54
C,40000,29009,55
A,40000,91557,56
A,40000,191738,57
D,3000,131760,58
F,40000,80401,59
B,3000,46384,60
A,3000,166854,61
E,40000,187429,62
E,3000,210092,63
A,3000,98861,64
E,3000,252773,65
D,40000,91292,66
F,3000,48992,67
A,3000,194420,68
B,3000,84183,69
E,3000,101136,70
F,3000,196541,71
F,3000,58277,72
B,3000,187974,73
F,40000,195985,74
D,40000,138342,75
C,3000,271974,76
B,40000,146346,77
C,3000,169129,78
B,40000,146865,79
C,3000,116302,80
E,3000,224008,81
E,40000,97972,82
B,40000,20021,83
F,3000,14259,84
E,3000,289637,85
D,40000,226325,86
D,3000,270779,87
C,3000,154802,88
F,3000,277440,89
D,3000,55317,90
F,40000,66903,91
B,40000,1399,92
D,40000,238975,93
B,40000,150766,94
A,3000,254041,95
C,3000,186495,96
B,3000,182657,97
D,3000,215983,98
B,40000,283529,99
A,3000,276410,100
E,3000,8291,101
E,3000,62018,102
C,40000,185727,103
E,3000,23984,104
E,3000,239557,105
D,40000,255001,106
B,40000,110678,107
A,40000,213087,108
E,40000,177473,109
A,3000,40975,110
A,3000,199195,111
F,3000,285838,112
E,40000,11210,113
E,3000,266383,114
E,3000,220830,115
E,3000,257049,116
A,3000,182555,117
F,40000,82946,118
B,40000,108007,119
A,3000,200479,120
F,40000,76879,121
B,3000,188507,122
B,40000,236501,123
E,40000,99878,124
A,40000,70317,125
A,3000,216760,126
F,3000,37155,127
B,40000,119118,128
B,40000,264797,129
A,3000,121169,130
B,40000,73874,131
F,40000,109736,132
F,3000,86104,133
E,40000,252018,134
E,40000,135117,135
D,40000,257587,136
F,40000,175211,137
D,40000,83515,138
C,40000,11741,139
C,3000,136229,140
D,3000,168352,141
D,40000,167146,142
D,40000,102418,143
C,3000,131252,144
A,3000,3152,145
D,40000,279970,146
C,3000,116701,147
B,40000,5576,148
D,40000,84796,149
D,40000,259178,150
E,40000,47564,151
D,3000,168565,152
F,40000,177718,153
D,3000,188731,154
D,3000,165811,155
F,3000,281334,156
A,40000,282289,157
A,3000,186872,158
C,3000,104379,159
D,3000,259936,160
F,3000,208520,161
D,40000,171493,162
B,3000,205403,163
A,40000,22618,164
C,3000,17833,165
F,3000,125371,166
